natural-born-killers,1
pirates-of-the-caribbean-the-curse-of-the-black-pearl,1
lore,1
take-the-lead,1
a-mighty-wind,1
jumping-the-broom,0.999999
the-baxter,0.999999
zombeavers,0.999997
charlie-and-the-chocolate-factory,0.999995
the-adjustment-bureau,0.999993
mission-impossible-ii,0.999988
the-wackness,0.999986
the-simpsons-movie,0.999979
the-king-of-kong-a-fistful-of-quarters,0.999961
the-abcs-of-death,0.99995
funny-people,0.999947
ramona-and-beezus,0.999911
paranormal-activity-3,0.999887
speed-racer,0.999873
talladega-nights-the-ballad-of-ricky-bobby,0.99979
celebrity,0.999789
good-night-and-good-luck,0.999786
23-blast,0.999761
valiant,0.99974
interstellar,0.999732
the-zodiac,0.999713
chaplin,0.999628
pirates-of-the-caribbean-dead-men-tell-no-tales,0.999624
54,0.999613
lords-of-dogtown,0.999552
being-john-malkovich,0.999542
where-in-the-world-is-osama-bin-laden,0.999492
what-happens-in-vegas,0.999473
departures,0.999446
seed-of-chucky,0.999436
the-thirteenth-floor,0.999423
the-manchurian-candidate,0.999356
how-to-eat-fried-worms,0.999346
the-bfg,0.999344
cuban-fury,0.999326
machete-kills,0.999264
the-turin-horse,0.999259
hoop-dreams,0.999236
poohs-heffalump-movie,0.999224
moving-midway,0.999182
black-hawk-down,0.999151
deception,0.999109
cj7,0.999065
casino,0.999028
hellion,0.999022
